Title,Company,Description,Date,City
Data Scientist - Marketplace,NEXT Trucking,"NEXT is a venture-backed tech startup on a mission to build the country’s largest and happiest virtual trucking fleet. Our mobile app powers the first trucker-centric marketplace designed to make it easy for shippers to find capacity and for drivers to find loads.

We are looking for a great communicator, able to explain concepts in an intuitive way, both by words and by simple, compelling visualizations. They will also need to build trusting relationships with other teams.
We hope to find someone who has done analysis in a domain to a point where they have a deep, rigorous understanding of the dynamics in that domain. We need someone with the curiosity and follow through to become one of the most knowledgeable people in logistics. He or she should have a systems level understanding in whatever domain area or business that the person previously worked.
Our ask:
Learn about data science opportunities within a logistics and technology company.
Finding Efficiencies within our marketplace:
including activities like Load matching optimization
Drive success as measured by team KPI's
Examples of meaningful product changes are:
Increased the marketplace match rate by delivering load criteria to the sales team
Increased the marketplace match rate by identifying changes in the mobile app and fleet web app
Increased the marketplace match rate using drayage data
Provide data driven guidelines
Identify and execute changes to our data systems that will allow the team to do higher leverage work, such as:
Identify, communicate, and resolve data hygiene issues
Build interpretable canonical data tables and maintainable pipelines general use concepts
Build tooling, such as python/R packages and functions, tests and alerts on pipelines, and automation of reporting
Identify and prototype potential Machine Learning Models and contribute to the overall Machine Learning strategies.
Setting up initial dataset with pipelinePerform feature transformations
Create model training harness, including train/test splits
Calculate model metrics (AUC, precision/recall) that connect to business outcomes
This person should have some experience applying statistical concepts to analysis, including:
Statistical tests such as t-test, ANOVA Power tests
General understanding of sample size and when differences are meaningful
Your Background includes (doesn't need to be exact)
Reproducible analysis, automate works of analysis, and coding experience.
Specifically, this person should have experience:
Completing an end to end analysis in R or Python.
Building utility toolsets in R, Python, unix commands, or other language to generalize data cleaning and processing
Nice to Haves:
SQL (candidate will have to learn SQL, but can be taught if this person is able to code otherwise and shows evidence of being able to learn)
Unix commands
Next Trucking Benefits
Competitive Base Salary and Equity
Full Medical, Dental and Vision Benefits
401K w/ company match
Vacation and Holidays.

NEXT is a venture-backed company boldly taking on the challenge of digitizing the $900B freight trucking industry. Our technology is transforming the way shippers and truckers engage and communicate by creating an on-demand platform where shippers can instantly find truckers with capacity and be able to have real time tracking updates and transparency with the movement of their freight throughout the entire shipping process.

NEXT was founded by Lidia Yan and Elton Chung with over 20 + years of experience in logistics and technology. We have raised over $125M led by Sequoia Capital and Brookfield Venture Capital.
We have assembled a team with experience from companies such as Google, C.H. Robinson, Apple, Idealab, Kareo and GoFundMe.",1/24/2019,Los Angeles
Sr. Data Scientist,Taboola,"Read something interesting online today? There's a good chance it reached you because of our technology.

Taboola is the world's leading content discovery platform, serving 360B recommendations to over 1B unique visitors each month on the web's most innovative publisher sites, including NBC, USA Today, The Weather Channel, Tribune and Fox Sports.

Taboola, the world’s largest content recommendation platform, is hiring a Senior Data Scientist to join our R&D Team in Downtown LA. This is the team that builds Taboola Newsroom, an innovating editorial tool powered by Taboola’s predictive engine and massive data set of over 1B internet users. Taboola Newsroom helps writers, editors and special-interest teams make informed decisions to increase readership.

About You:

You are a hyper-intelligent Data Scientist with a robust background in a big data environment.

In this Job:

You will build complex Data Science solutions for large-scale product initiatives, scaling up to a Petabyte of data. You will also:

Design and build predictive customer behavior models for targeting and personalization
Implement Machine Learning and statistics-based algorithms for prediction and optimization, then deliver to production
Build and maintain code to populate HDFS, Hadoop with log from Kafka or data loaded from SQL production systems
Design, build and support algorithms of data transformation, conversion, computation on Hadoop, Spark and other distributed Big Data Systems
Requirements:

5+ years of experience as a Data Scientist, preferably in Big Data Environment
2+ years of programming experience in Java/Scala and/or Python
Hadoop stack (HIVE, Pig, Hadoop streaming) and MapReduce
HBase or comparable NoSQL
SQL & database experience
Experience with Google products: Google Cloud Storage, Google Analytics and Google Big Query (a plus)
Bachelor’s degree in quantitative or related field


Taboola is an equal opportunity employer and we value diversity in all forms. We are committed to creating an inclusive environment for all employees and believe such an environment is critical for success. Employment is decided on the basis of qualifications, merit, and business need.",1/24/2019,Los Angeles
Data Scientist,Capgemini,"Need a R shiny expert
JD for R Shiny developer Job description
Responsibilities include, but are not limited to, the following:

Implement data solutions to disseminate and visualize datasets using contemporary application platforms (Shiny, etc.)
Enable visualizations & analysis of data sets using R/Shiny
Make data, including raw/interim data, available to users
Acquire user feedback to inform business requirements for future data systems development.
Help develop, enhance, and automate processes for queuing and prioritizing data management and curation requests
Designing & developing new capabilities through R/Shiny apps; customize & deploy apps
Deep understanding of analytic/scientific software development and advanced knowledge of statistical and machine learning models and frameworks.
Advanced programming skills; proficiency with R; experience using other programming and data manipulation languages (SQL, Python, C/C , Java, Scala, etc.).

Candidates should be flexible / willing to work across this delivery landscape which includes and not limited to Agile Applications Development, Support and Deployment.

Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Capgemini.
Qualifications
Responsible for programming and software development using various programming languages and related tools and frameworks, reviewing code written by other programmers, requirement gathering, bug fixing, testing, documenting and implementing software systems. Experienced programmers are also responsible for interpreting architecture and design, code reviews, mentoring, guiding and monitoring programmers, ensuring adherence to programming and documentation policies, software development, testing and release.

Required Skills and Experience:

You assign, coordinate, and review work and activities of programming personnel. Collaborate with computer manufacturers and other users to develop new programming methods. Supervise, train, mentor junior level programmers in programming and program coding. Represent team in project meetings. Work with business and functional analysts, and software & solution architects in ensuring that programs and systems function as intended Supervise, mentor and manage large teams of programmers in one or more projects. Represent project teams in project/program meetings or in meetings with sponsor.


Qualifications: 6-8 years (2 years min relevant experience in the role) experience, Bachelor’s Degree.
Must have experience in Software Engineering Techniques, Software Engineering Architecture, Software Engineering Lifecycle and Data Management.
Should be proficient in Business Analysis, Business Knowledge, Software Engineering Leadership, Architecture Knowledge and Technical Solution Design.

Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.

This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.

Click the following link for more information on your rights as an Applicant - http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law


About Capgemini

A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50-year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of 200,000 team members in over 40 countries. The Group reported 2017 global revenues of EUR 12.8 billion (about $14.4 billion USD at 2017 average rate).

Visit us at www.capgemini.com. People matter, results count.",1/24/2019,Los Angeles
Data Scientist/Visualization Master,Intermedia Advertising,"We are seeking a Manager of Business Intelligence (BI Guru/Data Scientist/Visualization Master) to become an integral part of our team! You will analyze data and build visualizations to better understand business and market trends in order to increase our clients revenue and efficiency. This is a vital role to the success of our business.

Responsibilities:
Developing data analytics models to improve our attribution platform.
Work with Junior analyst and developers to build our BI and analytics tools.
Use data to understand business patterns and trends.
Analyze internal and external data through quantitative research.
Communicate findings to company through standard and ad hoc reports.
Promote best practices in data analysis and reporting.
Collaborate with cross-functional teams.
Execution of analytical and operational special projects, as they arise.

Qualifications:
4+ Years Previous experience in business intelligence, analysis, or other related field.
Knowledge of statistical tools and business reporting (Qlikview, Tableau, DataMiner, R).
Experience with Google Analytics.
Advanced expertise in Microsoft Excel.
Experience with Microsoft SQL and writing queries and stored procedures.
Strong problem solving and critical thinking skills.
Strong attention to detail.
Ability to prioritize and multitask.
Experience with Traditional or Digital media is a plus. 

A desire to learn new technologies and develop professionally is very important.


About Intermedia Advertising 

For the past 40 years, InterMedia has been a leader and prime innovator in direct marketing. We’re at the top of the direct marketing industry because we have blended proprietary and traditional resources to produce direct marketing campaigns that reliably provide a healthy return on our clients’ advertising investments. InterMedia always provides exceptional media efficiency, results-oriented creative, cutting-edge analytics and research—combined with a thorough dedication to client service.
",1/23/2019,Los Angeles
Data Scientist,Street Simplified,"Undergraduate or graduate degree in computer science, electrical engineering, or related fields. Experience processing and pulling insight from large (GB – TB) datasets. Ability to scope and solve problems which are not clearly defined. Experience with machine learning is a big plus. Fluent in applicable languages.",1/21/2019,Los Angeles
Applied Engineering Data Scientist,The Aerospace Corporation,"A trusted partner. A national resource. A leader in national security space. We are THE Aerospace Corporation. A team that takes pride in our readiness to solve some of the most complex technical challenges in existence. With challenges spanning clandestine to commercial, you’ll have the unique opportunity to work on projects that are literally evolving our nation's space and launch capabilities. We all share a common passion and aspiration – to serve a mission much bigger than ourselves. When you join our team, you’ll be part of a rare collection of thought leaders and game-changing innovators. Are you ready to launch your career?

Responsibilities


Our group studies the use of data science to attempt solving engineering problems that we thought were impossible to solve. We are pushing the limits of the achievable to meet the theoretically possible and we are looking for engineers and computer scientists that are passionate about the field of machine learning to join our team.

Team Platypus Aerospace (Google us) is growing and looking for curious minds that are not afraid to ask what if? Can you design a radio using neurons instead of traditional communication algorithms? Can you create an adversarial neural network attack or create a classifier that is robust to state-of-the-art attacks? Can you detect anomalies on a satellite bus or a telecommunication system? Can you find image patterns where everyone else can’t? We have a group of experienced engineers and data scientists that are actively working on these real-world problems.

We are looking for engineers with a solid theoretical background and knowledge of the latest trends in machine learning concepts and architectures. To work in our group, you need to be extremely hands-on: we go beyond analysis and simulation to build working intelligent ML prototypes. You also need to be excited about exploring fields and concepts that may be out of your comfort zone.

Let’s do it!

***This role can be filled as an Aerospace Sr. Member of Technical Staff or Engineering Specialist***


Key Functions

Work in an engineering team whose main objective is to build intelligent radios
Experience in Data Science which includes: data-centric problem formulation, data cleaning hands-on experience as well as classification, regression and reinforcement learning knowledge
Conduct specialized technical studies, lead internal research and development efforts
Candidate should be eager to explore modern techniques and unconventional methods for algorithm design and problem-solving
We are looking for a person who can work and potentially lead small groups of engineers. The nature of our work requires the candidate to work on multiple projects simultaneously
We expect the chosen candidate to be able to be an active software developer in some of the programming languages described below and to pass a coding interview



Qualifications


Required

Minimum of 3 years of experience since obtaining a bachelor's degree from an accredited university.
Experience in data science projects.
Experience in engineering problem solving using supervised, unsupervised and reinforcement learning for classification and regression problems.
Familiarity with more than one of the following programming languages: Python, C/C++.
Working knowledge of Machine Learning libraries in any language including TensorFlow, scikit-learn, Keras, Theano, PyTorch, Veles, etc.
Strong written and verbal communication skills.
Active competitor in Kaggle-like competitions.
This position requires the ability to obtain and maintain a security clearance, which is issued by the U.S. government. U.S. citizenship is required to obtain a security clearance.


Required for consideration as an Engineering Specialist

Minimum of 5 years of experience since obtaining a bachelor's degree from an accredited university.
Extensive experience in data science projects.
Demonstrated strength in engineering problem solving using supervised, unsupervised and reinforcement learning for classification and regression problems.
Strength in more than one of the following programming languages: Python, C/C++.
Working knowledge of Machine Learning libraries in any language including TensorFlow, scikit-learn, Keras, Theano, PyTorch, Veles, etc.
Strong written and verbal communication skills.
Active competitor in Kaggle-like competitions.
This position requires the ability to obtain and maintain a security clearance, which is issued by the U.S. government. U.S. citizenship is required to obtain a security clearance.


Preferred

Advanced degree in the Engineering or Computer Science from an accredited university.
Hands-on experience implementing data-science solutions in Python.
Familiarity with GNU Radio.
Experience in implementing data science algorithms on GPUs.
Familiarity with Agile methodology.
Current and active Secret or Top Secret clearance with Sensitive Compartmented Information access (TS/SCI).





Transcript Requirement


Transcripts are required for this position.



Additional Requisition Details

System Job Title: MEMBR-TCH STF SR

Clearance Requirement: None

Access: None

Polygraph: None

Relocation Available: Yes

Employment Type: Regular

Work Schedule: Full Time


Company Statement

The Aerospace Corporation has provided independent technical and scientific research, development, and advisory services to national security space programs since 1960. We operate a federally funded research and development center (FFRDC) for the United States Air Force and the National Reconnaissance Office, and support all national security space programs. We also apply more than 50 years of experience with space systems to provide critical solutions to technologically complex systems in such areas as communications, shipping, law enforcement, and cyber, among others.

From our inception, our highly skilled technical staff has focused on ensuring the success of every mission and developing the most effective and economic space-related hardware and software in the world. Our greatest asset is the technical expertise of our people. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world.


Equal Opportunity Commitment

The Aerospace Corporation is an Equal Opportunity/Affirmative Action employer. We believe that a diverse workforce creates an environment in which unique ideas are developed and differing perspectives are valued, producing superior customer solutions. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, gender, gender identity or expression, color, religion, national origin, sexual orientation, protected veteran status, or disability status.

You can also review The Equal Employment Opportunity is the Law poster and the supplement, as well as the Pay Transparency Policy Statement.



Nearest Major Market: Los Angeles 
Job Segment: Database, Telecom, Telecommunications, Scientific, Engineer, Technology, Engineering",1/21/2019,Los Angeles
Sr. Data Scientist,"Ample Insight, Inc.","Our team is composed of world-class data scientists and industry experts from Facebook, Uber, Microsoft, Google, amongst others.

We are looking for Data Scientists who are passionate about Machine Learning and have deep knowledge in Statistics and Computer Science. You enjoy doing data science projects with structured and/or unstructured data and are motivated to productize scalable machine learning models. We will also rely on you to build data products to extract valuable business insights. Critical thinking and problem-solving skills are essential for this role.

Requirements:

Strong understanding of machine learning theory
Hands on experience with Statistics
Capable of quickly implementing prototypes of cutting-edge research papers
Proficient in Python (i.e. Pandas, Numpy, scikit-learn, etc), R, TensorFlow, amongst other data science-related tools and libraries
Analytical mind and business acumen
1 + years of experience with building scalable production systems (in Spark/Scala/Java) is a big plus
Indeed Hire and Ample Insight Inc are working together to find the best candidate for this job.

By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.

Job Type: Full-time

Experience:

building scalable production systems (in Spark/Scala/Java): 1 year (Preferred)
Hands-on Statistics: 1 year (Required)
Machine Learning Theory: 1 year (Required)
Python (Pandas, Numpy, scikit-learn), R, TensorFlow, etc.: 1 year (Required)",1/18/2019,Los Angeles
Data Scientist,"CGI Group, Inc.","Meet our professionals 

CGI: Committed to helping its professionals and clients 

Position Description:
This position is responsible for business consulting activities for the Data Strategy and Analytics teams within our client organizations to monitor and assist in improving their analytics eco system. We need someone with a creative problem-solving skills to work on our client's business opportunities. Our Data Scientistwill work to understand high value opportunities and identify/build potential solutions, which often involve discovering new insights by transforming data into intuitive & interactive visualizations or applications 

Responsibilities:
Serve as an expert in translating complex data into key strategy insights and valuable actions. 

Discover business narratives told by the data and present them to other scientists, business stakeholders, and managers at various levels.
Develop and test heuristics.
Create and run statistic/ML models.
Perform data exploration and data mining.
Create business intelligence, dashboards, visualizations, and/or other advanced analytics reports to adequately tell the business narrative and offer recommendations that are practiced, actionable, and have material impact, in addition to being well-supported by analytical models and data.
Skills:
Work experience in addition to degree: 3 - 5 years of data engineering/science related activities with overall 10+ years' experience. 

Graduation from a four-year college or university with a degree in statistics, physics, mathematics, engineering, computer science, or management of information systems.
Expert knowledge of SAS, Python Machine Learning or R
Working knowledge of statistics, programming and predictive modeling.
Working knowledge of code writing
Big Data/Hadoop/NoSQL and experience with large datasets
Desired:
Doctorate in Computer science, Engineering, Physics or Statistics 

Skills:
Data Analysis
SQL
Python
QlikView
Data Architecture
What you can expect from us: Build your career with us. 

It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients' digital journeys and offering our professionals exciting career opportunities. 

At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create. 

Be part of building one of the largest independent technology and business services firms in the world. 

Learn more about CGI at www.cgi.com. 

No unsolicited agency referrals please.
",1/18/2019,Los Angeles
Data Scientist,"MINDBODY, Inc","Data Scientists focus on extracting, understanding, manipulating and conveying complex data from MINDBODY’s production environment. This position works closely with their manager to prioritize tasks that are important in supporting our product and business units.

MINDBODY’s Data Science department makes sense of our data world through meaningful and actionable insights, identifying trends, delivering reports, informing product and infrastructure advancements, and promoting a culture of data-driven decision making.

MINIMUM QUALIFICATIONS AND REQUIREMENTS:

Bachelor’s degree, quantitative field preferred
3-10 years of experience performing quantitative data analysis
Excellent proficiency in MS SQL, SSIS, Excel, Access, Tableau, Salesforce, R, Python, Amazon RedShift, MS Azure
Experience quantifying and prioritizing projects that require heavy data analysis
Aptitude for numbers and a curiosity about information and data
Ability to present data in a simple, clean, concise visual and written manner
Strong attention to detail, analytical mindset, and highly organized
The desire to work in a fast-paced, potentially ambiguous, start-up-like atmosphere
Strong technical aptitude and demonstrated ability to quickly evaluate and learn new technologies
Strong interpersonal skills, with the ability to work independently and within a team environment

PRINCIPAL DUTIES AND RESPONSIBILITIES:

Write custom SQL queries to run on production databases in order to fulfill ad-hoc data requests
Analyze extracted data, review for accuracy and look for trends
Participate in the SQL code review process and quality assurance
Develop new scripts and KPIs as needed
Inform Prod Dev on decisions around usage tracking, data creation, and storage, as well as product usage trends
Apply advanced tools and methods to analyze product data and derive meaningful, actionable insights to Prod Dev and the rest of the business
Serve as subject matter experts (SMEs) in the area of product usage and data schemas, for the benefit of other analysts as well as PT&E
Attain knowledge about MINDBODY’s data infrastructure
Consult with management to understand current and future business goals and strategies, and ensure that high-visibility reporting and analysis is aligned
All other duties as assigned
",1/15/2019,Los Angeles
Senior Data Scientist,Frontier Communications Corporation,"Senior Data Scientist

Frontier Communications Corporation (NASDAQ: FTR) is a leader in providing communications services to urban, suburban, and rural communities in 29 states. Frontier offers a variety of services to residential customers over its fiber-optic and copper networks, including video, high-speed internet, advanced voice, and Frontier Secure® digital protection solutions. Frontier’s video offerings include FiOS® by Frontier® and Vantage TV by Frontier™ with 100 percent HD picture quality, Total Home DVR, instant channel change, enhanced search, Video on Demand, and much more. Frontier Business offers communications solutions to small, medium, and enterprise businesses. More information about Frontier is available at www.frontier.com.

Responsibilities include:

Work with and analyze complex data from various sources. Manipulate large data sets and navigate a variety of servers, data types, and data structures to complete statistical and other analyses

Develop predictive and descriptive models using advanced procedures like statistical modeling, linear regression and Bayesian analyses. Knowledge of some/all of the following techniques: Multivariate Regression, Logistic Regression, Support Vector Machines, Bootstrap Aggregation, Boosting, Decision Trees, and Time Series Analysis.
Use a suite of analytical tools including Python, SAS & R to build, implement, and regularly monitor the effectiveness of predictive models
Perform statistical data analysis and build forecasting and optimization models
Develop and monitor industry trends, to support the monitoring, evaluation and development of current and newly emerging products, and consumer behavior
Partnering with business analysts to gather requirements and translate to actionable scenarios and models
Work with various functions to document and communicate results of analyses, present work in clean, structured formats
Required Skills/Requirements

3 + years of business experience
An advanced degree, or directly relevant experience in a quantitative discipline, such as operations research, econometrics, or statistics
Experience developing and implementing statistical models
5+ years of experience with a statistical analysis tool like R, Python, SAS
Experience performing data management, mining, and manipulation along with analytics
Experience using SQL in a RDBMS environment
Excellent communication skills, oral and written
Must have strong attention to detail and ability to work independently under general instructions and with a team
Some programming experience - This role will rely heavily on programming experience in R, Python, and SAS, as well as SSMS
Desirable

Experience with tools and methodologies specific to big data
Familiarity with relational databases, such as Oracle, MS SQL and Server
Knowledge of 3rd party demographic (Claritas) or firmagraphic (D&B) information sources
Work Location: Tampa, FL, Fort Wayne, IN, Thousand Oaks (or other southern California locale), CA and Irving, TX
",1/14/2019,Los Angeles
